#META,,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,,
67,sally,smile,1,,,,,,
67,e12,serious,2,,,,,,
68,f72,laugh,0,,,,,,
68,sally,smile,1,,,,,,
68,e12,frust,2,,,,,,
69,f72,laugh,0,,,,,,
69,sally,smile,1,,,,,,
69,e12,frust,2,,,,,,
70,f72,laugh,0,,,,,,
70,sally,smile,1,,,,,,
70,e12,mid,2,,,,,,
71,f72,laugh,0,,,,,,
71,sally,smile,1,,,,,,
71,e12,mid,2,,,,,,
72,f72,laugh,0,,,,,,
72,sally,smile,1,,,,,,
72,e12,mid,2,,,,,,
72-1-1,f72,laugh,0,,,,,,
72-1-1,sally,smile,1,,,,,,
72-1-1,e12,smile,2,,,,,,
72-1-2,f72,laugh,0,,,,,,
72-1-2,sally,smile,1,,,,,,
72-1-2,e12,smile,2,,,,,,
72-1-3,f72,laugh,0,,,,,,
72-1-3,sally,smile,1,,,,,,
72-1-3,e12,serious,2,,,,,,
72-2-1,f72,mid,0,,,,,,
72-2-1,sally,mid,1,,,,,,
72-2-1,e12,mid,2,,,,,,
72-2-2,f72,mid,0,,,,,,
72-2-2,sally,mid,1,,,,,,
72-2-2,e12,mid,2,,,,,,
72-2-3,f72,smile,0,,,,,,
72-2-3,sally,mid,1,,,,,,
72-2-3,e12,mid,2,,,,,,
72-2-4,f72,smile,0,,,,,,
72-2-4,sally,angry,1,,,,,,
72-2-4,e12,mid,2,,,,,,
73,f72,mid,0,,,,,,
73,sally,angry,1,,,,,,
73,e12,mid,2,,,,,,
74,f72,mid,0,,,,,,
74,sally,angry,1,,,,,,
74,e12,mid,2,,,,,,
75,f72,mid,0,,,,,,
75,sally,angry,1,,,,,,
75,e12,serious,2,,,,,,
76,f72,frust,0,,,,,,
76,sally,angry,1,,,,,,
76,e12,serious,2,,,,,,
77,f72,frust,0,,,,,,
77,sally,angry,1,,,,,,
77,e12,serious,2,,,,,,
78,f72,frust,0,,,,,,
78,sally,angry,1,,,,,,
78,e12,serious,2,,,,,,
79,f72,frust,0,,,,,,
79,sally,mid,1,,,,,,
79,e12,serious,2,,,,,,
80,f72,frust,0,,,,,,
80,sally,mid,1,,,,,,
80,e12,serious,2,,,,,,
81,f72,frust,0,,,,,,
81,sally,closed,1,,,,,,
81,e12,serious,2,,,,,,
82,f72,frust,0,,,,,,
82,sally,closed,1,,,,,,
82,e12,angry,2,,,,,,
83,f72,frust,0,,,,,,
83,sally,closed,1,,,,,,
83,e12,angry,2,,,,,,
84,f72,frust,0,,,,,,
84,sally,closed,1,,,,,,
84,e12,angry,2,,,,,,
85,f72,frust,0,,,,,,
85,sally,closed,1,,,,,,
85,e12,angry,2,,,,,,
86,f72,frust,0,,,,,,
86,sally,closed,1,,,,,,
86,e12,angry,2,,,,,,
87,f72,frust,0,,,,,,
87,sally,closed,1,,,,,,
87,e12,angry,2,,,,,,
88,f72,frust,0,,,,,,
88,sally,closed,1,,,,,,
88,e12,shame,2,,,,,,
89,f72,frust,0,,,,,,
89,sally,mid,1,,,,,,
89,e12,shame,2,,,,,,
90,f72,frust,0,,,,,,
90,sally,mid,1,,,,,,
90,e12,shame,2,,,,,,
91,f72,mid,0,,,,,,
91,sally,mid,1,,,,,,
91,e12,shame,2,,,,,,
92,f72,mid,0,,,,,,
92,sally,mid,1,,,,,,
92,e12,frust,2,,,,,,
93,f72,mid,0,,,,,,
93,sally,mid,1,,,,,,
93,e12,frust,2,,,,,,
94,f72,mid,0,,,,,,
94,sally,mid,1,,,,,,
94,e12,frust,2,,,,,,
95,f72,mid,0,,,,,,
95,sally,mid,1,,,,,,
95,e12,frust,2,,,,,,
96,f72,mid,0,,,,,,
96,sally,mid,1,,,,,,
96,e12,frust,2,,,,,,
97,f72,mid,0,,,,,,
97,sally,mid,1,,,,,,
97,e12,frust,2,,,,,,
98,f72,mid,0,,,,,,
98,sally,smile,1,,,,,,
98,e12,frust,2,,,,,,
99,f72,mid,0,,,,,,
99,sally,smile,1,,,,,,
99,e12,frust,2,,,,,,
100,f72,mid,0,,,,,,
100,sally,smile,1,,,,,,
100,e12,frust,2,,,,,,
101,f72,smile,0,,,,,,
101,sally,smile,1,,,,,,
101,e12,frust,2,,,,,,
102,f72,smile,0,,,,,,
102,sally,angry,1,,,,,,
102,e12,frust,2,,,,,,
103,f72,smile,0,,,,,,
103,sally,angry,1,,,,,,
103,e12,frust,2,,,,,,
104,f72,smile,0,,,,,,
104,sally,angry,1,,,,,,
104,e12,shame,2,,,,,,
105,f72,mid,0,,,,,,
105,sally,angry,1,,,,,,
105,e12,shame,2,,,,,,
106,f72,mid,0,,,,,,
106,sally,angry,1,,,,,,
106,e12,shame,2,,,,,,
107,f72,mid,0,,,,,,
107,sally,angry,1,,,,,,
107,e12,shame,2,,,,,,
108,f72,mid,0,,,,,,
108,sally,angry,1,,,,,,
108,e12,shame,2,,,,,,
109,f72,mid,0,,,,,,
109,sally,angry,1,,,,,,
109,e12,shame,2,,,,,,
111-1-1,f72,mid,0,,,,,,
111-1-1,sally,angry,1,,,,,,
111-1-1,e12,shame,2,,,,,,
111-1-2,f72,laugh,0,,,,,,
111-1-2,sally,angry,1,,,,,,
111-1-2,e12,shame,2,,,,,,
111-2-1,f72,mid,0,,,,,,
111-2-1,sally,angry,1,,,,,,
111-2-1,e12,shame,2,,,,,,
111-2-2,f72,smile,0,,,,,,
111-2-2,sally,angry,1,,,,,,
111-2-2,e12,shame,2,,,,,,
111-2-3,f72,smile,0,,,,,,
111-2-3,sally,mid,1,,,,,,
111-2-3,e12,shame,2,,,,,,
111-2-4,f72,smile,0,,,,,,
111-2-4,sally,mid,1,,,,,,
111-2-4,e12,mid,2,,,,,,
111-2-5,f72,smile,0,,,,,,
111-2-5,sally,mid,1,,,,,,
111-2-5,e12,mid,2,,,,,,
112,f72,smile,0,,,,,,
112,sally,mid,1,,,,,,
112,e12,mid,2,,,,,,
113,f72,smile,0,,,,,,
113,sally,mid,1,,,,,,
113,e12,mid,2,,,,,,
114,f72,smile,0,,,,,,
114,sally,mid,1,,,,,,
114,e12,mid,2,,,,,,
115,f72,smile,0,,,,,,
115,sally,mid,1,,,,,,
115,e12,mid,2,,,,,,
116,f72,smile,0,,,,,,
116,sally,mid,1,,,,,,
116,e12,mid,2,,,,,,
117,f72,frust,0,,,,,,
117,sally,mid,1,,,,,,
117,e12,mid,2,,,,,,
118,f72,frust,0,,,,,,
118,sally,mid,1,,,,,,
118,e12,mid,2,,,,,,
119,f72,frust,0,,,,,,
119,sally,mid,1,,,,,,
119,e12,mid,2,,,,,,
120,f72,frust,0,,,,,,
120,sally,mid,1,,,,,,
120,e12,mid,2,,,,,,
121,f72,frust,0,,,,,,
121,sally,angry,1,,,,,,
121,e12,mid,2,,,,,,
122,f72,frust,0,,,,,,
122,sally,angry,1,,,,,,
122,e12,mid,2,,,,,,
123,f72,frust,0,,,,,,
123,sally,angry,1,,,,,,
123,e12,mid,2,,,,,,
124,f72,frust,0,,,,,,
124,sally,mid,1,,,,,,
124,e12,mid,2,,,,,,
125,f72,frust,0,,,,,,
125,sally,mid,1,,,,,,
125,e12,mid,2,,,,,,
126,f72,frust,0,,,,,,
126,sally,smile,1,,,,,,
126,e12,mid,2,,,,,,
127,f72,frust,0,,,,,,
127,sally,smile,1,,,,,,
127,e12,serious,2,,,,,,
128,f72,frust,0,,,,,,
128,sally,smile,1,,,,,,
128,e12,serious,2,,,,,,
129,f72,frust,0,,,,,,
129,sally,smile,1,,,,,,
129,e12,serious,2,,,,,,
130,f72,frust,0,,,,,,
130,sally,smile,1,,,,,,
130,e12,serious,2,,,,,,
131,f72,smile,0,,,,,,
131,sally,smile,1,,,,,,
131,e12,serious,2,,,,,,
132,f72,smile,0,,,,,,
132,sally,smile,1,,,,,,
132,e12,smile,2,,,,,,
133,f72,smile,0,,,,,,
133,sally,smile,1,,,,,,
133,e12,smile,2,,,,,,
134-1-1,f72,smile,0,,,,,,
134-1-1,sally,smile,1,,,,,,
134-1-1,e12,smile,2,,,,,,
134-1-2,f72,smile,0,,,,,,
134-1-2,sally,mid,1,,,,,,
134-1-2,e12,smile,2,,,,,,
134-1-3,f72,smile,0,,,,,,
134-1-3,sally,mid,1,,,,,,
134-1-3,e12,smile,2,,,,,,
134-1-4,f72,smile,0,,,,,,
134-1-4,sally,mid,1,,,,,,
134-1-4,e12,smile,2,,,,,,
134-1-5,f72,laugh,0,,,,,,
134-1-5,sally,mid,1,,,,,,
134-1-5,e12,smile,2,,,,,,
134-1-6,f72,laugh,0,,,,,,
134-1-6,sally,mid,1,,,,,,
134-1-6,e12,smile,2,,,,,,
134-1-7,f72,laugh,0,,,,,,
134-1-7,sally,mid,1,,,,,,
134-1-7,e12,shame,2,,,,,,
134-1-8,f72,laugh,0,,,,,,
134-1-8,sally,smile,1,,,,,,
134-1-8,e12,shame,2,,,,,,
134-1-9,f72,laugh,0,,,,,,
134-1-9,sally,smile,1,,,,,,
134-1-9,e12,shame,2,,,,,,
134-2-1,f72,smile,0,,,,,,
134-2-1,sally,smile,1,,,,,,
134-2-1,e12,smile,2,,,,,,
134-2-2,f72,smile,0,,,,,,
134-2-2,sally,smile,1,,,,,,
134-2-2,e12,serious,2,,,,,,
134-2-3,f72,smile,0,,,,,,
134-2-3,sally,smile,1,,,,,,
134-2-3,e12,serious,2,,,,,,
134-2-4,f72,smile,0,,,,,,
134-2-4,sally,smile,1,,,,,,
134-2-4,e12,serious,2,,,,,,
134-2-5,f72,laugh,0,,,,,,
134-2-5,sally,smile,1,,,,,,
134-2-5,e12,serious,2,,,,,,
134-2-6,f72,laugh,0,,,,,,
134-2-6,sally,smile,1,,,,,,
134-2-6,e12,serious,2,,,,,,
135,f72,laugh,0,,,,,,
135,sally,smile,1,,,,,,
135,e12,smile,2,,,,,,
136,f72,laugh,0,,,,,,
136,sally,smile,1,,,,,,
136,e12,smile,2,,,,,,
137,f72,smile,0,,,,,,
137,sally,smile,1,,,,,,
137,e12,smile,2,,,,,,
138,f72,smile,0,,,,,,
138,sally,smile,1,,,,,,
138,e12,smile,2,,,,,,
139,f72,smile,0,,,,,,
139,sally,smile,1,,,,,,
139,e12,smile,2,,,,,,
140,f72,smile,0,,,,,,
140,sally,smile,1,,,,,,
140,e12,smile,2,,,,,,
141,f72,smile,0,,,,,,
141,sally,smile,1,,,,,,
141,e12,smile,2,,,,,,
142,f72,laugh,0,,,,,,
142,sally,smile,1,,,,,,
142,e12,smile,2,,,,,,
143,f72,laugh,0,,,,,,
143,sally,smile,1,,,,,,
143,e12,frust,2,,,,,,
,,,,,,,,,
,,,,,,,,,
#CHOICES,,,,,,,,,
nodeId,choiceIndex,buttonText,nextNodeId,setFlags,clearFlags,varChanges,,,
133,0,"<b>(E12의 도움을 받는다)</b> 그럼, 거절하지 않겠습니다.",134-1-1,,,,,,
133,1,<b>(도움을 거절한다)</b> 저의 무모한 여정에 여러분들을 끌어들일 순 없습니다.,134-2-1,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
#NODE_BRANCHES,,,,,,,,,
nodeId,requiredFlag,nextNodeId,,,,,,,
21-1-1,"sc0_true, sc4_true",22-1-1,,,,,,,
21-1-1,"sc0_false, sc4_false",22-2-1,,,,,,,
21-2-4,"sc0_true, sc4_true",22-1-1,,,,,,,
21-2-4,"sc0_false, sc4_false",22-2-1,,,,,,,
109,sc1_true,111-1-1,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
#NODE_VAR_BRANCHES,,,,,,,,,
nodeId,varName,op,threshold,nextNodeId,,,,,
